subdistrict_id,subdistrict_name,district_id_id
806,Biswan,183
807,Mahmudabad,183
808,Sidhauli,183
809,Shahabad,150
810,Sawayajpur,150
811,Hardoi,150
812,Bilgram,150
813,Sandila,150
814,Safipur,186
815,Hasanganj,186
816,Unnao,186
817,Purwa,186
818,Bighapur,186
819,Malihabad,162
820,Bakshi Ka Talab,162
821,Sadar,162
822,Mohanlalganj,162
823,Maharajganj,175
824,Tiloi,640
825,Rae Bareli,175
826,Lalganj,175
827,Dalmau,175
828,Unchahar,175
829,Salon,175
830,Kaimganj,141
831,Amritpur,141
832,Farrukhabad,141
833,Chhibramau,155
834,Kannauj,155
835,Tirwa,155
836,Jaswantnagar,139
837,Saifai,139
838,Etawah,139
839,Bharthana,139
840,Chakarnagar,139
841,Bidhuna,122
842,Auraiya,122
843,Rasulabad,156
844,Derapur,156
845,Akbarpur,156
846,Bhognipur,156
847,Sikandra,156
848,Bilhaur,157
849,Kanpur,157
850,Ghatampur,157
851,Madhogarh,151
852,Jalaun,151
853,Kalpi,151
854,Orai,151
855,Konch,151
856,Moth,153
857,Garautha,153
858,Tahrauli,153
859,Mauranipur,153
860,Jhansi,153
861,Talbehat,161
862,Lalitpur,161
863,Mahroni,161
864,Hamirpur,149
865,Rath,149
866,Sarila,149
867,Maudaha,149
868,Kulpahar,165
869,Charkhari,165
870,Mahoba,165
871,Banda,128
872,Baberu,128
873,Atarra,128
874,Naraini,128
875,Karwi,136
876,Mau,136
877,Bindki,142
878,Fatehpur,142
879,Khaga,142
880,Lalganj,174
881,Kunda,174
882,Pratapgarh,174
883,Patti,174
884,Raniganj,174
885,Sirathu,158
886,Manjhanpur,158
887,Chail,158
888,Soraon,120
889,Phulpur,120
890,Allahabad,120
891,Bara,120
892,Karchhana,120
893,Handia,120
894,Meja,120
895,Koraon,120
896,Fatehpur,129
897,Ramnagar,129
898,Nawabganj,129
899,Sirauli Gauspur,129
900,Ramsanehighat,129
901,Haidergarh,129
902,Rudauli,140
903,Milkipur,140
904,Sohawal,140
905,Faizabad,140
906,Bikapur,140
907,Tanda,121
908,Allapur,121
909,Jalalpur,121
910,Akbarpur,121
911,Bhiti,121
912,Musafirkhana,640
913,Gauriganj,640
914,Amethi,640
915,Sultanpur,185
916,Jaisinghpur,185
917,Lambhua,185
918,Kadipur,185
919,Nanpara,125
920,Mahasi,125
921,Bahraich,125
922,Kaiserganj,125
923,Bhinga,181
924,Ikauna,181
925,Balrampur,127
926,Tulsipur,127
927,Utraula,127
928,Gonda,147
929,Colonelganj,147
930,Tarabganj,147
931,Mankapur,147
932,Shohratgarh,182
933,Naugarh,182
934,Bansi,182
935,Itwa,182
936,Domariyaganj,182
937,Bhanpur,131
938,Harraiya,131
939,Basti,131
940,Rudhauli,131
941,Mehdawal,178
942,Khalilabad,178
943,Ghanghata,178
944,Nautanwa,164
945,Nichlaul,164
946,Pharenda,164
947,Maharajganj,164
948,Campierganj,148
949,Sahjanwa,148
950,Gorakhpur,148
951,Chauri Chaura,148
952,Bansgaon,148
953,Khajni,148
954,Gola,148
955,Padrauna,160
956,Hata,160
957,Kasya,160
958,Tamkuhi Raj,160
959,Deoria,137
960,Rudrapur,137
961,Barhaj,137
962,Salempur,137
963,Bhatpar Rani,137
964,Burhanpur,123
965,Sagri,123
966,Azamgarh,123
967,Nizamabad,123
968,Phulpur,123
969,Lalganj,123
970,Mehnagar,123
971,Ghosi,168
972,Madhuban,168
973,Maunath Bhanjan,168
974,Muhammadabad Gohna,168
975,Belthara Road,126
976,Sikanderpur,126
977,Rasra,126
978,Ballia,126
979,Bansdih,126
980,Bairia,126
981,Shahganj,152
982,Badlapur,152
983,Machhlishahr,152
984,Jaunpur,152
985,Mariahu,152
986,Kerakat,152
987,Jakhania,146
988,Saidpur,146
989,Ghazipur,146
990,Mohammadabad,146
991,Zamania,146
992,Sakaldiha,135
993,Chandauli,135
994,Chakia,135
995,Pindra,187
996,Sadar,187
997,Bhadohi,179
998,Gyanpur,179
999,Aurai,179
1000,Mirzapur,170
1001,Lalganj,170
1002,Marihan,170
1003,Chunar,170
1004,Ghorawal,184
1005,Robertsganj,184
1006,Dudhi,184
