subdistrict,NAME_1,populatiuon,sewage_2055,Subdistric,,,,,,,
Bhadohi,Badamanpur,3804,0.431350129,994,,,,,,,
Bhadohi,Parsipur,1241,0.140754232,994,,,,,,,
Bhadohi,Kom,2171,0.246168449,994,,,,,,,
Bhadohi,Rampur Dhaskari,372,0.042206076,994,,,,,,,
Bhadohi,Sultanpur,1325,0.15024555,994,,,,,,,
Bhadohi,Gopalpur,470,0.053312937,994,,,,,,,
Bhadohi,Chak Bisram,513,0.058159568,994,,,,,,,
Bhadohi,Madho Rampur,2288,0.259496683,994,,,,,,,
Bhadohi,Rampur Z.Saroi,2938,0.333205858,994,,,,,,,
Bhadohi,Udhopur,141,0.015953493,994,,,,,,,
Bhadohi,Jairampur Khas,556,0.063006198,994,,,,,,,
Bhadohi,Lachhapur,1403,0.15913104,994,,,,,,,
Bhadohi,Dhaskari,1439,0.163169898,994,,,,,,,
Bhadohi,Jairampur Sir,214,0.024233153,994,,,,,,,
Bhadohi,Bhadarmanpur,903,0.102385072,994,,,,,,,
Bhadohi,Prem Rajpur,581,0.0658334,994,,,,,,,
Bhadohi,Chak Phurahi,424,0.04806242,994,,,,,,,
Bhadohi,Bankat Z.Saroi,766,0.086835466,994,,,,,,,
Bhadohi,Sambairaj Putani,1291,0.146408634,994,,,,,,,
Bhadohi,Chaubepur Sudhist,1325,0.15024555,994,,,,,,,
Bhadohi,Ahara,548,0.062198427,994,,,,,,,
Bhadohi,Chandapur,390,0.044225504,994,,,,,,,
Bhadohi,Chak Sanath,255,0.028877841,994,,,,,,,
Bhadohi,Kantapur,1088,0.123387139,994,,,,,,,
Bhadohi,Banpurwa,703,0.079767463,994,,,,,,,
Bhadohi,Domanpur Chiwathiya,2819,0.31967568,994,,,,,,,
Bhadohi,Jolhapur,682,0.077344147,994,,,,,,,
Bhadohi,Gondamir Imamali,46,0.005250517,994,,,,,,,
Bhadohi,Baraila,2851,0.323310653,994,,,,,,,
Bhadohi,Ubhwa Mafi,3414,0.387124623,994,,,,,,,
Bhadohi,Hirday Patti,2538,0.287768695,994,,,,,,,
Bhadohi,Pajapatipur,1597,0.181142821,994,,,,,,,
Bhadohi,Samhi Bhatani,3163,0.358650669,994,,,,,,,
Bhadohi,Bhagwanpur Kunahri,1352,0.153274694,994,,,,,,,
Bhadohi,Narpatpur,1672,0.189624424,994,,,,,,,
Bhadohi,Narharpur,445,0.050485736,994,,,,,,,
Bhadohi,Saroi,5054,0.573114075,994,,,,,,,
Bhadohi,Nidiur,2926,0.331792257,994,,,,,,,
Bhadohi,Khemaipur,5966,0.676508862,994,,,,,,,
Bhadohi,Bhagtanpur Z.Sarohi,1049,0.118944394,994,,,,,,,
Bhadohi,Kachhuwa Bojh,735,0.083402436,994,,,,,,,
Bhadohi,Balbhadarpur,1305,0.148024178,994,,,,,,,
Bhadohi,Puray Mudiya,1774,0.201135173,994,,,,,,,
Bhadohi,Jogipur,1733,0.196490484,994,,,,,,,
Bhadohi,Kapal Deeh,734,0.083200493,994,,,,,,,
Bhadohi,Chak Harbans Bhatan Kala,2012,0.228195526,994,,,,,,,
Bhadohi,Bisunpur,344,0.038974988,994,,,,,,,
Bhadohi,Manikpur,1531,0.173670932,994,,,,,,,
Bhadohi,Chandaipur Or Chanaipur,1163,0.131868742,994,,,,,,,
Bhadohi,Badhauna,3075,0.348755465,994,,,,,,,
Bhadohi,Chak Nanhu,358,0.040590532,994,,,,,,,
Bhadohi,Duladaspur,4050,0.459218254,994,,,,,,,
Bhadohi,Chak Bhawnigir,265,0.030089499,994,,,,,,,
Bhadohi,Kanehari,662,0.075122775,994,,,,,,,
Bhadohi,Jhigurpur Chak Vijai,3503,0.397221771,994,,,,,,,
Bhadohi,Uchetha,3104,0.351986552,994,,,,,,,
Bhadohi,Hadhi Bari,541,0.061390655,994,,,,,,,
Bhadohi,Sankarpur,2757,0.312607677,994,,,,,,,
Bhadohi,Chak Haribans Pasiyan Kala,1457,0.165189328,994,,,,,,,
Bhadohi,Suwajag,796,0.090268496,994,,,,,,,
Bhadohi,Chandi Gahana,1845,0.20921289,994,,,,,,,
Bhadohi,Tikaitpur,1909,0.216482836,994,,,,,,,
Bhadohi,Sanbeiya,997,0.113088048,994,,,,,,,
Bhadohi,Misirpur,1330,0.150851379,994,,,,,,,
Bhadohi,Madho Singhpur,413,0.046850763,994,,,,,,,
Bhadohi,Chak Haribans Pasiyan Khurd,575,0.065227571,994,,,,,,,
Bhadohi,Pachwal,807,0.091480154,994,,,,,,,
Bhadohi,Ismaila,1496,0.169632073,994,,,,,,,
Bhadohi,Promiya Khan,1628,0.184575851,994,,,,,,,
